date,electricity_kWh,natural_gas_m3,hot_water_liter,cold_water_liter,district_heating_kWh,propane_liter,fuel_oil_liter,petrol_liter,diesel_liter,bus_km,train_km,bicycle_km,flight_short_km,flight_long_km,meat_kg,chicken_kg,eggs_kg,dairy_kg,vegetarian_kg,vegan_kg,total_kg,electricity_kwh,district_heating_kwh
2025-09-29,0.0,0.5,20.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.2,0.4,0.0,21.68,8.0,0.0
2025-09-30,,0.3,20.0,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.2,0.5,0.0,21.95,8.0,0.0
2025-10-01,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.3,18.79,5.0,0.0
2025-10-03,,1.2,60.0,0.0,,0.0,0.0,2.5,0.0,10.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.3,0.2,0.0,29.44,8.0,0.0
2025-10-04,,0.2,25.0,0.0,,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.2,14.98,8.0,0.0
2025-10-05,,0.1,20.0,3.0,,0.0,0.0,0.0,0.0999999999999993,11.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.3,0.2,16.01,7.000000000000011,0.0
2025-10-06,,1.2,60.0,0.0,,0.0,0.0,2.5,0.0,10.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.3,0.2,0.0,29.21,8.0,0.0
2025-10-07,,0.30000000000000004,20.0,3.0,,0.0,0.0,0.0,5.0,10.0,0.0,3.0,0.0,0.0,0.30000000000000004,0.0,0.1,0.1,0.30000000000000004,0.2,20.92,10.0,0.0
